aX,aY,aZ
0.359,-0.257,-0.462
0.37,-0.266,-0.452
0.378,-0.269,-0.445
0.393,-0.269,-0.433
0.403,-0.273,-0.437
0.401,-0.274,-0.447
0.405,-0.275,-0.466
0.405,-0.265,-0.481
0.402,-0.241,-0.531
0.401,-0.209,-0.592
0.4,-0.195,-0.67
0.397,-0.166,-0.72
0.386,-0.145,-0.825
0.382,-0.137,-0.926
0.367,-0.134,-0.985
0.346,-0.137,-1.077
0.333,-0.172,-1.139
0.31,-0.183,-1.23
0.318,-0.277,-1.218
0.284,-0.152,-1.132
0.254,-0.106,-1.255
0.257,-0.129,-1.21
0.281,-0.214,-1.181
0.277,-0.217,-1.146
0.224,0.462,-1.358
0.211,0.494,-1.403
0.2,0.524,-1.428
0.198,0.53,-1.469
0.192,0.533,-1.502
0.19,0.534,-1.512
0.189,0.531,-1.522
0.192,0.538,-1.52
0.196,0.521,-1.518
0.198,0.505,-1.51
0.198,0.472,-1.508
0.21,0.456,-1.504
0.219,0.447,-1.486
0.234,0.43,-1.474
0.235,0.407,-1.427
0.224,0.397,-1.358
0.206,0.391,-1.314
0.199,0.391,-1.233
0.182,0.39,-1.168
0.179,0.387,-1.145
0.185,0.378,-1.117
0.19,0.371,-1.105
0.195,0.363,-1.105
0.196,0.362,-1.103
0.195,0.362,-1.102
0.195,0.362,-1.101
0.195,0.36,-1.101
0.192,0.361,-1.103
0.199,0.357,-1.106
0.202,0.346,-1.119
0.209,0.343,-1.13
0.215,0.34,-1.139
0.216,0.34,-1.155
0.22,0.344,-1.173
0.217,0.345,-1.18
0.216,0.341,-1.192
0.218,0.341,-1.199
0.209,0.341,-1.207
0.203,0.347,-1.223
0.191,0.349,-1.234
0.179,0.353,-1.251
0.175,0.363,-1.26
0.169,0.361,-1.269
0.169,0.342,-1.286
0.161,0.344,-1.3
0.154,0.342,-1.309
0.153,0.345,-1.328
0.151,0.338,-1.347
0.152,0.334,-1.364
0.153,0.335,-1.369
0.154,0.337,-1.381
0.158,0.34,-1.387
0.157,0.34,-1.387
0.159,0.344,-1.39
0.161,0.345,-1.389
0.163,0.341,-1.391
0.163,0.343,-1.383
0.163,0.34,-1.373
0.164,0.328,-1.362
0.168,0.319,-1.341
0.163,0.315,-1.322
0.157,0.32,-1.307
0.144,0.324,-1.299
0.145,0.312,-1.283
0.154,0.306,-1.275
0.158,0.297,-1.27
0.157,0.287,-1.27
0.155,0.288,-1.258
0.161,0.271,-1.253
0.165,0.25,-1.24
0.16,0.253,-1.208
0.169,0.226,-1.196
0.168,0.215,-1.169
0.169,0.197,-1.164
0.163,0.224,-1.139
0.17,0.205,-1.127
0.184,0.19,-1.111
0.182,0.209,-1.103
0.183,0.207,-1.079
0.202,0.188,-1.098
0.214,0.111,-1.095
0.205,0.151,-1.066
0.203,0.167,-1.035
0.207,0.157,-1.048
0.199,0.138,-1.019
0.199,0.088,-0.987
0.207,0.072,-0.966
0.219,0.025,-0.962
0.21,0.082,-0.896
0.212,0.047,-0.893
0.232,0.031,-0.893
0.223,0.066,-0.82
0.227,0.092,-0.874
0.24,0.064,-0.835
0.237,0.017,-0.826
0.241,-0.041,-0.819
0.258,-0.068,-0.829
0.277,-0.08,-0.824
0.284,-0.079,-0.821
0.31,-0.096,-0.812
0.325,-0.122,-0.802
0.333,-0.158,-0.771
0.334,-0.155,-0.738
0.333,-0.149,-0.727
0.329,-0.136,-0.704
0.325,-0.12,-0.692
0.325,-0.124,-0.635
0.323,-0.12,-0.603
0.323,-0.115,-0.576
0.323,-0.135,-0.549
0.334,-0.149,-0.52
0.341,-0.19,-0.508
0.346,-0.218,-0.481
0.356,-0.235,-0.452
0.372,-0.254,-0.434
0.38,-0.27,-0.403
0.401,-0.272,-0.371
0.403,-0.266,-0.36
0.406,-0.267,-0.339
0.601,-0.261,1.133
0.683,-0.224,1.177
0.709,-0.289,1.175
0.715,-0.338,1.208
0.719,-0.33,1.222
0.715,-0.301,1.231
0.705,-0.298,1.223
0.694,-0.313,1.223
0.673,-0.282,1.216
0.645,-0.27,1.237
0.618,-0.254,1.213
0.601,-0.303,1.167
0.558,-0.299,1.156
0.517,-0.269,1.144
0.513,-0.254,1.166
0.504,-0.244,1.169
0.492,-0.244,1.163
0.477,-0.251,1.152
0.474,-0.293,1.148
0.475,-0.319,1.134
0.474,-0.355,1.119
0.477,-0.373,1.095
0.48,-0.376,1.073
0.49,-0.383,1.062
0.492,-0.383,1.042
0.491,-0.385,1.031
0.485,-0.375,1.006
0.484,-0.369,0.977
0.486,-0.362,0.963
0.488,-0.362,0.943
0.488,-0.362,0.927
0.482,-0.362,0.921
0.48,-0.366,0.918
0.481,-0.366,0.917
0.476,-0.353,0.918
0.472,-0.335,0.924
0.472,-0.329,0.923
0.47,-0.315,0.933
0.454,-0.303,0.943
0.451,-0.297,0.948
0.448,-0.291,0.971
0.448,-0.286,0.987
0.441,-0.27,1.008
0.439,-0.266,1.019
0.441,-0.258,1.027
0.447,-0.251,1.046
0.453,-0.251,1.055
0.466,-0.25,1.059
0.476,-0.248,1.068
0.502,-0.25,1.072
0.522,-0.253,1.071
0.534,-0.253,1.061
0.553,-0.249,1.053
0.562,-0.243,1.036
0.58,-0.24,1.009
0.6,-0.238,0.995
0.608,-0.242,0.968
0.616,-0.242,0.955
0.625,-0.242,0.922
0.627,-0.239,0.904
0.638,-0.254,0.888
0.63,-0.245,0.864
0.619,-0.243,0.832
0.618,-0.231,0.828
0.616,-0.241,0.821
0.616,-0.245,0.799
0.594,-0.238,0.777
0.582,-0.225,0.734
0.569,-0.217,0.722
0.571,-0.205,0.701
0.567,-0.207,0.676
0.561,-0.205,0.645
0.55,-0.204,0.63
0.549,-0.207,0.6
0.549,-0.214,0.58
0.547,-0.224,0.537
0.545,-0.228,0.49
0.547,-0.23,0.469
0.548,-0.236,0.423
0.549,-0.241,0.38
0.544,-0.242,0.356
0.538,-0.242,0.32
0.535,-0.371,0.276
0.514,-0.261,0.243
0.498,-0.261,0.2
0.491,-0.258,0.17
0.478,-0.263,0.155
0.473,-0.258,0.128
0.456,-0.246,0.1
0.457,-0.268,0.082
0.454,-0.261,0.054
0.432,-0.24,0.032
0.425,-0.248,-0.028
0.417,-0.239,-0.087
0.396,-0.223,-0.152
0.406,-0.242,-0.176
0.399,-0.209,-0.243
0.384,-0.199,-0.314
0.385,-0.191,-0.344
0.383,-0.193,-0.405
0.381,-0.192,-0.46
0.373,-0.185,-0.482
0.364,-0.197,-0.511
0.356,-0.203,-0.54
0.343,-0.207,-0.549
0.333,-0.21,-0.567
0.342,-0.233,-0.596
0.32,-0.256,-0.59
0.287,-0.201,-0.641
0.346,-0.255,-0.649
0.327,-0.207,-0.668
0.284,-0.155,-0.722
0.27,-0.132,-0.801
0.26,-0.143,-0.868
0.269,-0.187,-0.867
0.265,-0.173,-0.861
0.244,-0.154,-0.971
0.24,-0.131,-0.986
0.244,-0.138,-1.026
0.104,0.565,-1.374
0.111,0.585,-1.415
0.122,0.599,-1.442
0.131,0.613,-1.453
0.139,0.614,-1.464
0.159,0.611,-1.467
0.168,0.607,-1.46
0.174,0.599,-1.459
0.184,0.596,-1.44
0.199,0.582,-1.431
0.208,0.554,-1.406
0.22,0.541,-1.379
0.222,0.514,-1.363
0.216,0.502,-1.328
0.199,0.494,-1.288
0.181,0.481,-1.268
0.161,0.464,-1.225
0.151,0.451,-1.18
0.137,0.433,-1.161
0.123,0.414,-1.127
0.116,0.394,-1.101
0.11,0.394,-1.079
0.107,0.396,-1.068
0.106,0.398,-1.053
0.107,0.394,-1.046
0.109,0.384,-1.034
0.114,0.381,-1.024
0.122,0.373,-1.021
0.128,0.371,-1.021
0.132,0.372,-1.017
0.135,0.375,-1.019
0.138,0.39,-1.022
0.147,0.401,-1.032
0.155,0.415,-1.044
0.159,0.425,-1.065
0.167,0.427,-1.078
0.168,0.433,-1.105
0.167,0.439,-1.137
0.162,0.448,-1.153
0.157,0.461,-1.185
0.15,0.468,-1.226
0.141,0.47,-1.266
0.13,0.477,-1.288
0.124,0.489,-1.328
0.121,0.498,-1.37
0.113,0.499,-1.415
0.098,0.505,-1.436
0.095,0.508,-1.467
0.086,0.509,-1.481
0.082,0.511,-1.512
0.081,0.511,-1.534
0.075,0.511,-1.543
0.075,0.522,-1.556
0.063,0.525,-1.559
0.061,0.528,-1.557
0.061,0.526,-1.552
0.061,0.522,-1.544
0.06,0.515,-1.522
0.058,0.514,-1.513
0.058,0.511,-1.495
0.059,0.511,-1.476
0.06,0.496,-1.467
0.061,0.492,-1.435
0.071,0.484,-1.418
0.078,0.467,-1.387
0.077,0.463,-1.358
0.076,0.456,-1.345
0.076,0.464,-1.327
0.083,0.461,-1.316
0.095,0.443,-1.313
0.1,0.437,-1.3
0.108,0.427,-1.278
0.114,0.42,-1.268
0.115,0.407,-1.235
0.115,0.394,-1.199
0.117,0.395,-1.18
0.121,0.367,-1.159
0.117,0.362,-1.131
0.124,0.348,-1.118
0.123,0.354,-1.099
0.131,0.315,-1.096
0.141,0.302,-1.093
0.141,0.302,-1.064
0.158,0.284,-1.071
0.165,0.256,-1.058
0.163,0.268,-1.029
0.174,0.262,-1.022
0.199,0.152,-1.05
0.194,0.197,-0.956
0.193,0.204,-0.917
0.195,0.203,-0.907
0.195,0.159,-0.904
0.189,0.142,-0.88
0.19,0.117,-0.846
0.205,0.091,-0.839
0.217,0.11,-0.803
0.221,0.152,-0.722
0.251,0.102,-0.747
0.276,0.023,-0.72
0.28,-0.004,-0.671
0.268,0.049,-0.606
0.272,0.037,-0.624
0.291,-0.022,-0.592
0.285,-0.053,-0.583
0.294,-0.1,-0.584
0.322,-0.111,-0.595
0.341,-0.102,-0.594
0.374,-0.102,-0.602
0.385,-0.101,-0.596
0.388,-0.118,-0.589
0.389,-0.114,-0.546
0.385,-0.109,-0.533
0.385,-0.146,-0.517
0.395,-0.205,-0.497
0.372,-0.229,-0.461
0.378,-0.228,-0.44
0.395,-0.246,-0.404
0.422,-0.252,-0.363
0.421,-0.224,-0.351
0.654,-0.437,0.943
0.641,-0.438,0.955
0.61,-0.439,0.976
0.599,-0.438,0.991
0.578,-0.449,1
0.569,-0.447,1.018
0.539,-0.437,1.023
0.516,-0.428,1.025
0.5,-0.4,1.049
0.495,-0.437,1.042
0.494,-0.453,1.041
0.479,-0.446,1.039
0.49,-0.427,1.057
0.495,-0.419,1.058
0.486,-0.412,1.049
0.483,-0.406,1.039
0.485,-0.41,1.042
0.497,-0.425,1.041
0.503,-0.437,1.037
0.512,-0.441,1.039
0.523,-0.447,1.036
0.527,-0.449,1.036
0.532,-0.449,1.035
0.536,-0.452,1.021
0.538,-0.455,1.009
0.543,-0.46,1.003
0.544,-0.471,0.995
0.544,-0.473,0.985
0.544,-0.475,0.982
0.543,-0.466,0.971
0.537,-0.462,0.962
0.533,-0.446,0.943
0.528,-0.439,0.925
0.524,-0.43,0.918
0.521,-0.432,0.907
0.515,-0.427,0.9
0.51,-0.42,0.889
0.507,-0.413,0.885
0.499,-0.408,0.887
0.5,-0.403,0.894
0.502,-0.403,0.893
0.506,-0.402,0.898
0.508,-0.402,0.9
0.517,-0.404,0.903
0.521,-0.408,0.912
0.524,-0.408,0.913
0.528,-0.405,0.913
0.532,-0.402,0.91
0.547,-0.403,0.902
0.553,-0.403,0.89
0.563,-0.402,0.874
0.579,-0.407,0.867
0.593,-0.412,0.839
0.6,-0.409,0.81
0.61,-0.401,0.793
0.615,-0.402,0.751
0.627,-0.403,0.73
0.634,-0.402,0.696
0.636,-0.401,0.663
0.64,-0.402,0.647
0.637,-0.397,0.617
0.633,-0.392,0.603
0.625,-0.387,0.572
0.619,-0.383,0.535
0.616,-0.393,0.527
0.618,-0.404,0.528
0.613,-0.409,0.528
0.601,-0.415,0.513
0.597,-0.416,0.501
0.586,-0.411,0.493
0.583,-0.409,0.48
0.572,-0.405,0.477
0.562,-0.409,0.462
0.559,-0.407,0.445
0.552,-0.408,0.433
0.555,-0.415,0.412
0.565,-0.415,0.384
0.561,-0.414,0.368
0.559,-0.417,0.331
0.565,-0.418,0.314
0.565,-0.409,0.281
0.565,-0.405,0.241
0.57,-0.406,0.222
0.568,-0.398,0.184
0.571,-0.404,0.173
0.581,-0.407,0.155
0.573,-0.408,0.093
0.56,-0.417,0.07
0.554,-0.422,0.033
0.535,-0.421,-0.008
0.519,-0.431,-0.028
0.504,-0.413,-0.07
0.481,-0.42,-0.102
0.459,-0.402,-0.12
0.451,-0.392,-0.163
0.446,-0.389,-0.181
0.439,-0.384,-0.213
0.438,-0.384,-0.243
0.444,-0.387,-0.252
0.448,-0.39,-0.276
0.452,-0.388,-0.311
0.454,-0.383,-0.335
0.458,-0.387,-0.344
0.457,-0.397,-0.365
0.468,-0.4,-0.381
0.475,-0.396,-0.422
0.476,-0.383,-0.438
0.474,-0.381,-0.473
0.473,-0.375,-0.511
0.468,-0.374,-0.547
0.453,-0.367,-0.565
0.457,-0.39,-0.611
0.425,-0.346,-0.629
0.415,-0.354,-0.696
0.435,-0.353,-0.601
0.404,-0.322,-0.66
0.348,-0.277,-0.701
0.332,-0.267,-0.734
0.332,-0.284,-0.747
0.082,0.571,-1.391
0.1,0.588,-1.42
0.107,0.603,-1.443
0.116,0.612,-1.459
0.123,0.621,-1.464
0.126,0.616,-1.471
0.129,0.61,-1.469
0.129,0.592,-1.461
0.125,0.58,-1.446
0.122,0.55,-1.432
0.118,0.522,-1.393
0.109,0.51,-1.344
0.097,0.486,-1.319
0.087,0.469,-1.269
0.082,0.454,-1.227
0.072,0.446,-1.191
0.066,0.436,-1.175
0.061,0.433,-1.149
0.054,0.435,-1.139
0.049,0.437,-1.127
0.046,0.436,-1.125
0.043,0.439,-1.129
0.042,0.448,-1.144
0.043,0.452,-1.155
0.045,0.459,-1.181
0.051,0.461,-1.211
0.056,0.467,-1.226
0.06,0.472,-1.255
0.062,0.479,-1.29
0.059,0.489,-1.307
0.06,0.495,-1.344
0.06,0.503,-1.364
0.062,0.513,-1.405
0.063,0.517,-1.447
0.064,0.52,-1.468
0.065,0.525,-1.506
0.063,0.527,-1.521
0.058,0.533,-1.545
0.053,0.532,-1.562
0.041,0.535,-1.566
0.032,0.535,-1.567
0.028,0.525,-1.565
0.026,0.517,-1.566
0.018,0.504,-1.563
0.013,0.494,-1.549
-0.003,0.488,-1.53
-0.013,0.488,-1.503
-0.019,0.495,-1.485
-0.018,0.485,-1.456
-0.015,0.479,-1.427
-0.013,0.476,-1.402
-0.009,0.465,-1.389
-0.004,0.465,-1.363
0.006,0.456,-1.335
0.015,0.442,-1.318
0.014,0.425,-1.287
0.014,0.427,-1.268
0.019,0.413,-1.265
0.018,0.43,-1.249
0.022,0.429,-1.232
0.041,0.397,-1.225
0.045,0.392,-1.202
0.061,0.381,-1.192
0.075,0.343,-1.19
0.073,0.346,-1.161
0.087,0.333,-1.145
0.106,0.309,-1.134
0.11,0.306,-1.093
0.116,0.322,-1.039
0.14,0.277,-1.051
0.14,0.219,-1.037
0.132,0.258,-0.959
0.142,0.275,-0.93
0.152,0.142,-0.915
0.157,0.223,-0.905
0.159,0.17,-0.854
0.171,0.163,-0.816
0.196,0.12,-0.805
0.206,0.137,-0.751
0.213,0.168,-0.692
0.238,0.114,-0.712
0.249,0.034,-0.707
0.258,0.025,-0.677
0.26,0.049,-0.675
0.256,0.111,-0.618
0.286,0.088,-0.621
0.295,0.023,-0.595
0.293,-0.028,-0.593
0.308,-0.06,-0.594
0.342,-0.095,-0.591
0.356,-0.089,-0.581
0.375,-0.082,-0.571
0.376,-0.071,-0.554
0.382,-0.086,-0.542
0.382,-0.089,-0.511
0.384,-0.116,-0.503
0.386,-0.14,-0.488
0.396,-0.158,-0.469
0.407,-0.186,-0.442
0.414,-0.191,-0.402
0.426,-0.182,-0.379
0.434,-0.229,-0.356
0.445,-0.233,-0.321
0.457,-0.23,-0.279
0.482,-0.272,-0.253
0.475,-0.263,-0.247
0.449,-0.26,-0.218
0.433,-0.204,-0.195
0.45,-0.214,-0.15
0.455,-0.221,-0.171
0.455,-0.331,-0.202
0.481,-0.35,-0.09
0.512,-0.345,-0.095
0.521,-0.346,-0.095
0.523,-0.333,-0.079
0.524,-0.34,-0.07
0.529,-0.353,-0.062
0.534,-0.365,-0.038
0.546,-0.369,-0.025
0.588,-0.42,0.99
0.577,-0.411,0.995
0.568,-0.401,0.996
0.557,-0.397,0.992
0.538,-0.371,1.001
0.535,-0.407,0.996
0.523,-0.403,1.014
0.507,-0.371,1.027
0.505,-0.357,1.051
0.494,-0.357,1.075
0.468,-0.356,1.087
0.457,-0.356,1.105
0.442,-0.361,1.116
0.44,-0.378,1.14
0.441,-0.379,1.156
0.432,-0.382,1.165
0.43,-0.385,1.174
0.431,-0.392,1.176
0.427,-0.4,1.174
0.426,-0.399,1.166
0.422,-0.398,1.15
0.42,-0.395,1.138
0.42,-0.39,1.121
0.42,-0.389,1.103
0.428,-0.395,1.093
0.431,-0.396,1.077
0.44,-0.394,1.065
0.448,-0.391,1.04
0.451,-0.387,1.015
0.455,-0.387,0.999
0.457,-0.386,0.977
0.46,-0.384,0.956
0.464,-0.38,0.949
0.464,-0.37,0.931
0.466,-0.372,0.925
0.468,-0.377,0.917
0.467,-0.377,0.905
0.464,-0.376,0.904
0.466,-0.378,0.908
0.466,-0.376,0.915
0.468,-0.369,0.915
0.469,-0.496,0.917
0.472,-0.373,0.917
0.473,-0.367,0.907
0.476,-0.371,0.914
0.481,-0.369,0.916
0.484,-0.37,0.911
0.493,-0.368,0.899
0.501,-0.364,0.892
0.503,-0.367,0.876
0.514,-0.37,0.861
0.523,-0.369,0.854
0.525,-0.359,0.834
0.529,-0.359,0.822
0.536,-0.35,0.797
0.539,-0.346,0.773
0.54,-0.347,0.76
0.544,-0.36,0.737
0.554,-0.364,0.72
0.555,-0.364,0.706
0.564,-0.372,0.685
0.574,-0.384,0.679
0.572,-0.389,0.655
0.577,-0.395,0.619
0.574,-0.388,0.605
0.567,-0.372,0.567
0.563,-0.369,0.53
0.559,-0.365,0.514
0.556,-0.367,0.486
0.548,-0.369,0.473
0.543,-0.376,0.447
0.535,-0.382,0.417
0.532,-0.392,0.399
0.534,-0.394,0.362
0.536,-0.393,0.341
0.537,-0.383,0.291
0.544,-0.391,0.244
0.546,-0.382,0.223
0.543,-0.37,0.159
0.547,-0.496,0.118
0.556,-0.373,0.087
0.549,-0.361,0.027
0.54,-0.357,-0.02
0.54,-0.349,-0.04
0.537,-0.353,-0.081
0.532,-0.353,-0.111
0.522,-0.349,-0.136
0.519,-0.342,-0.183
0.503,-0.337,-0.231
0.486,-0.344,-0.255
0.472,-0.342,-0.295
0.455,-0.341,-0.322
0.434,-0.344,-0.33
0.424,-0.349,-0.339
0.408,-0.353,-0.35
0.404,-0.366,-0.356
0.404,-0.376,-0.371
0.403,-0.374,-0.402
0.396,-0.366,-0.419
0.392,-0.359,-0.454
0.386,-0.353,-0.487
0.389,-0.335,-0.498
0.393,-0.321,-0.524
0.41,-0.317,-0.537
0.426,-0.316,-0.583
0.433,-0.316,-0.624
0.459,-0.319,-0.677
0.457,-0.352,-0.692
0.445,-0.327,-0.74
0.513,-0.392,-0.692
0.503,-0.354,-0.698
0.468,-0.353,-0.798
0.452,-0.341,-0.789
0.461,-0.406,-0.8
0.489,-0.398,-0.816
0.454,-0.365,-0.846
0.447,-0.349,-0.853
0.457,-0.345,-0.834
0.459,-0.335,-0.83
0.193,0.433,-1.417
0.181,0.452,-1.48
0.173,0.454,-1.509
0.17,0.454,-1.514
0.168,0.447,-1.521
0.173,0.422,-1.522
0.178,0.402,-1.52
0.18,0.388,-1.497
0.184,0.381,-1.466
0.189,0.361,-1.444
0.192,0.346,-1.394
0.19,0.335,-1.344
0.184,0.334,-1.3
0.181,0.339,-1.285
0.18,0.346,-1.271
0.176,0.352,-1.267
0.176,0.35,-1.271
0.175,0.354,-1.28
0.166,0.357,-1.289
0.16,0.36,-1.294
0.157,0.364,-1.298
0.149,0.363,-1.304
0.15,0.359,-1.315
0.15,0.35,-1.325
0.148,0.35,-1.346
0.141,0.353,-1.354
0.142,0.36,-1.374
0.142,0.364,-1.398
0.139,0.367,-1.408
0.128,0.374,-1.437
0.12,0.382,-1.465
0.114,0.39,-1.489
0.105,0.399,-1.494
0.094,0.404,-1.505
0.089,0.391,-1.525
0.079,0.39,-1.532
0.071,0.394,-1.534
0.071,0.391,-1.545
0.071,0.387,-1.548
0.072,0.373,-1.545
0.073,0.361,-1.53
0.076,0.355,-1.526
0.075,0.352,-1.509
0.073,0.355,-1.489
0.069,0.357,-1.48
0.07,0.355,-1.465
0.069,0.348,-1.459
0.067,0.34,-1.461
0.061,0.358,-1.446
0.061,0.37,-1.426
0.062,0.37,-1.417
0.059,0.354,-1.394
0.064,0.337,-1.373
0.07,0.288,-1.368
0.067,0.286,-1.33
0.068,0.293,-1.314
0.067,0.309,-1.289
0.059,0.342,-1.253
0.068,0.327,-1.373
0.087,0.253,-1.249
0.091,0.238,-1.23
0.091,0.26,-1.214
0.103,0.28,-1.192
0.114,0.27,-1.16
0.119,0.224,-1.132
0.131,0.204,-1.117
0.141,0.186,-1.086
0.142,0.187,-1.049
0.157,0.166,-1.037
0.161,0.14,-1.02
0.153,0.206,-0.955
0.15,0.21,-0.95
0.158,0.188,-0.928
0.166,0.105,-0.914
0.181,0.075,-0.879
0.191,0.059,-0.87
0.199,0.05,-0.844
0.194,0.09,-0.827
0.211,0.078,-0.783
0.205,0.08,-0.762
0.197,0.041,-0.722
0.201,-0.021,-0.742
0.223,-0.057,-0.712
0.25,-0.087,-0.705
0.275,-0.085,-0.68
0.284,-0.081,-0.651
0.297,-0.084,-0.618
0.288,-0.067,-0.599
0.281,-0.052,-0.544
0.278,-0.057,-0.531
0.278,-0.108,-0.488
0.273,-0.149,-0.444
0.272,-0.175,-0.425
0.292,-0.212,-0.381
0.303,-0.193,-0.313
0.32,-0.195,-0.266
0.332,-0.203,-0.233
0.334,-0.214,-0.187
0.349,-0.241,-0.149
0.331,-0.22,-0.147
0.328,-0.213,-0.139
0.362,-0.228,-0.003
0.388,-0.264,-0.102
0.377,-0.24,-0.056
0.418,-0.268,-0.018
0.416,-0.299,-0.045
0.438,-0.361,-0.046
0.479,-0.357,-0.006
0.514,-0.366,0.003
0.536,-0.41,0.002
0.529,-0.405,0.012
0.525,-0.381,0.022
0.525,-0.356,0.042
0.527,-0.355,0.066
0.521,-0.351,0.08
0.518,-0.371,0.114
0.511,-0.381,0.152
0.509,-0.39,0.163
0.514,-0.393,0.188
0.52,-0.331,1.176
0.517,-0.336,1.192
0.516,-0.336,1.195
0.517,-0.322,1.196
0.514,-0.311,1.185
0.515,-0.296,1.178
0.512,-0.281,1.175
0.503,-0.276,1.17
0.495,-0.264,1.168
0.49,-0.251,1.178
0.481,-0.252,1.183
0.472,-0.252,1.199
0.47,-0.25,1.214
0.465,-0.255,1.222
0.462,-0.271,1.242
0.47,-0.273,1.255
0.474,-0.281,1.257
0.474,-0.309,1.267
0.496,-0.325,1.27
0.5,-0.327,1.275
0.493,-0.326,1.245
0.489,-0.329,1.214
0.491,-0.336,1.201
0.493,-0.337,1.171
0.497,-0.335,1.125
0.493,-0.332,1.099
0.495,-0.33,1.058
0.495,-0.332,1.02
0.497,-0.33,1.001
0.497,-0.322,0.97
0.494,-0.32,0.948
0.488,-0.319,0.937
0.488,-0.317,0.915
0.486,-0.316,0.909
0.484,-0.318,0.905
0.483,-0.324,0.904
0.485,-0.327,0.899
0.486,-0.331,0.9
0.488,-0.342,0.902
0.493,-0.346,0.902
0.503,-0.356,0.902
0.509,-0.365,0.896
0.52,-0.366,0.885
0.527,-0.367,0.874
0.532,-0.367,0.843
0.544,-0.359,0.828
0.553,-0.372,0.798
0.552,-0.383,0.759
0.559,-0.385,0.741
0.571,-0.382,0.72
0.574,-0.374,0.697
0.571,-0.371,0.678
0.578,-0.38,0.657
0.573,-0.376,0.636
0.564,-0.365,0.596
0.567,-0.365,0.563
0.563,-0.356,0.545
0.569,-0.354,0.516
0.569,-0.351,0.498
0.567,-0.372,0.483
0.564,-0.39,0.459
0.56,-0.397,0.442
0.558,-0.411,0.428
0.559,-0.418,0.405
0.556,-0.42,0.386
0.562,-0.427,0.374
0.562,-0.427,0.342
0.552,-0.43,0.325
0.552,-0.439,0.294
0.551,-0.438,0.255
0.548,-0.435,0.234
0.547,-0.44,0.189
0.533,-0.44,0.147
0.521,-0.435,0.127
0.518,-0.432,0.099
0.512,-0.426,0.081
0.508,-0.422,0.05
0.507,-0.42,0.021
0.509,-0.42,0.005
0.512,-0.426,-0.018
0.521,-0.427,-0.042
0.524,-0.423,-0.056
0.523,-0.427,-0.091
0.525,-0.427,-0.108
0.522,-0.426,-0.151
0.517,-0.429,-0.202
0.504,-0.422,-0.228
0.496,-0.417,-0.271
0.484,-0.414,-0.316
0.463,-0.403,-0.335
0.46,-0.406,-0.359
0.455,-0.409,-0.381
0.428,-0.395,-0.42
0.436,-0.406,-0.429
0.442,-0.394,-0.43
0.418,-0.381,-0.466
0.405,-0.382,-0.487
0.404,-0.387,-0.476
0.391,-0.395,-0.478
0.379,-0.402,-0.479
0.379,-0.4,-0.484
0.389,-0.395,-0.486
0.405,-0.392,-0.495
0.419,-0.396,-0.505
0.434,-0.396,-0.512
0.437,-0.392,-0.53
0.437,-0.379,-0.548
0.435,-0.372,-0.564
0.435,-0.368,-0.576
0.431,-0.358,-0.607
0.425,-0.352,-0.749
0.412,-0.335,-0.659
0.406,-0.314,-0.7
0.392,-0.295,-0.734
0.373,-0.284,-0.751
0.361,-0.267,-0.79
0.353,-0.259,-0.824
0.328,-0.242,-0.837
0.317,-0.231,-0.849
0.14,0.571,-1.323
0.123,0.601,-1.353
0.117,0.623,-1.412
0.117,0.63,-1.442
0.12,0.638,-1.487
0.123,0.64,-1.524
0.132,0.639,-1.533
0.15,0.628,-1.538
0.163,0.604,-1.54
0.193,0.59,-1.525
0.215,0.562,-1.517
0.228,0.529,-1.495
0.248,0.515,-1.454
0.259,0.486,-1.408
0.253,0.471,-1.383
0.245,0.469,-1.34
0.216,0.473,-1.297
0.188,0.488,-1.278
0.176,0.486,-1.243
0.156,0.483,-1.213
0.142,0.476,-1.194
0.139,0.468,-1.189
0.138,0.467,-1.183
0.134,0.467,-1.185
0.135,0.464,-1.189
0.138,0.457,-1.2
0.139,0.452,-1.216
0.14,0.45,-1.224
0.14,0.451,-1.25
0.136,0.452,-1.266
0.127,0.456,-1.298
0.12,0.461,-1.329
0.116,0.466,-1.367
0.113,0.465,-1.405
0.104,0.465,-1.425
0.099,0.465,-1.452
0.094,0.458,-1.469
0.083,0.453,-1.478
0.069,0.45,-1.48
0.057,0.443,-1.48
0.054,0.438,-1.484
0.051,0.431,-1.492
0.049,0.432,-1.487
0.054,0.424,-1.488
0.058,0.41,-1.477
0.059,0.407,-1.469
0.057,0.404,-1.457
0.053,0.407,-1.442
0.067,0.396,-1.425
0.07,0.385,-1.411
0.072,0.373,-1.387
0.073,0.371,-1.362
0.065,0.375,-1.329
0.055,0.375,-1.316
0.059,0.359,-1.288
0.064,0.332,-1.27
0.066,0.334,-1.241
0.077,0.318,-1.221
0.081,0.313,-1.205
0.081,0.297,-1.198
0.086,0.324,-1.153
0.102,0.306,-1.149
0.11,0.288,-1.139
0.126,0.274,-1.105
0.138,0.271,-1.078
0.164,0.205,-1.085
0.151,0.184,-1.067
0.15,0.214,-0.999
0.162,0.204,-0.997
0.161,0.199,-0.975
0.156,0.174,-0.966
0.165,0.141,-0.948
0.175,0.101,-0.949
0.186,0.106,-0.893
0.198,0.151,-0.875
0.22,0.091,-0.88
0.223,0.045,-0.87
0.189,0.08,-0.853
0.206,0.09,-0.781
