aX,aY,aZ
0.336,0.753,-1.248
0.381,0.681,-1.209
0.397,0.683,-1.202
0.399,0.629,-1.176
0.385,0.615,-1.151
0.355,0.58,-1.149
0.35,0.591,-1.126
0.365,0.603,-1.112
0.399,0.589,-1.108
0.401,0.591,-1.075
0.412,0.586,-1.048
0.422,0.511,-1.044
0.41,0.588,-1.009
0.357,0.625,-1.014
0.35,0.666,-1.015
0.345,0.683,-1.02
0.319,0.669,-1.017
0.29,0.657,-1.013
0.271,0.658,-1.022
0.25,0.668,-1.027
0.237,0.65,-1.015
0.24,0.647,-1.023
0.244,0.646,-1.027
0.25,0.637,-1.029
0.252,0.623,-1.032
0.252,0.622,-1.038
0.274,0.628,-1.053
0.287,0.635,-1.061
0.306,0.639,-1.067
0.329,0.635,-1.082
0.341,0.632,-1.076
0.377,0.647,-1.076
0.394,0.639,-1.063
0.392,0.623,-1.035
0.397,0.623,-1.008
0.418,0.63,-0.994
0.428,0.637,-0.963
0.428,0.646,-0.941
0.436,0.655,-0.93
0.436,0.665,-0.915
0.433,0.668,-0.901
0.42,0.668,-0.895
0.412,0.666,-0.884
0.4,0.663,-0.874
0.387,0.658,-0.867
0.376,0.65,-0.861
0.369,0.645,-0.867
0.354,0.633,-0.87
0.346,0.629,-0.877
0.329,0.626,-0.89
0.318,0.622,-0.895
0.305,0.622,-0.91
0.3,0.621,-0.929
0.294,0.619,-0.935
0.289,0.616,-0.948
0.284,0.618,-0.957
0.281,0.627,-0.964
0.277,0.636,-0.973
0.275,0.642,-0.976
0.278,0.646,-0.979
0.283,0.642,-0.979
0.293,0.639,-0.981
0.305,0.629,-0.98
0.309,0.627,-0.982
0.336,0.641,-0.984
0.337,0.648,-0.982
0.324,0.664,-0.987
0.314,0.677,-0.995
0.312,0.701,-1.004
0.309,0.722,-1.022
0.296,0.733,-1.034
0.29,0.752,-1.082
0.286,0.76,-1.12
0.29,0.765,-1.148
0.289,0.787,-1.209
0.32,0.797,-1.238
0.303,0.779,-1.279
0.291,0.779,-1.306
0.291,0.782,-1.315
0.293,0.792,-1.34
0.291,0.801,-1.379
0.297,0.817,-1.398
0.295,0.822,-1.424
0.278,0.829,-1.438
0.269,0.844,-1.467
0.278,0.846,-1.464
0.288,0.835,-1.449
0.289,0.802,-1.418
0.286,0.799,-1.406
0.267,0.823,-1.457
0.268,0.833,-1.447
0.283,0.824,-1.474
0.254,0.82,-1.476
0.253,0.805,-1.474
0.253,0.797,-1.48
0.26,0.793,-1.477
0.268,0.795,-1.468
0.276,0.79,-1.46
0.271,0.768,-1.463
0.264,0.777,-1.408
0.281,0.721,-1.395
0.267,0.761,-1.378
0.25,0.758,-1.339
0.258,0.75,-1.324
0.266,0.714,-1.297
0.269,0.703,-1.259
0.245,0.684,-1.239
0.239,0.676,-1.197
0.242,0.643,-1.174
0.244,0.619,-1.135
0.253,0.611,-1.12
0.263,0.603,-1.092
0.261,0.599,-1.047
0.251,-0.234,1.715
0.301,-0.252,1.826
0.368,-0.25,1.843
0.397,-0.267,1.819
0.424,-0.277,1.763
0.424,-0.294,1.746
0.427,-0.311,1.715
0.447,-0.323,1.673
0.461,-0.368,1.636
0.464,-0.391,1.547
0.459,-0.392,1.455
0.444,-0.367,1.409
0.439,-0.362,1.334
0.42,-0.356,1.297
0.391,-0.344,1.224
0.377,-0.339,1.164
0.345,-0.338,1.139
0.332,-0.34,1.098
0.305,-0.339,1.062
0.291,-0.341,1.052
